optimizer,beta,grad_mode,feature_projection,lr_w,lr_v,momentum,readout_optimizer,muon_ns_steps,muon_nesterov,muon_update_scale,freon_c,trunc_frac,rand_spectrum_high,spectral_assume_rank_one,num_widths,num_runs,chi_width,loss_slope,loss_r2,delta_gap,gap_slope,gap_r2,tau_hww_trace,hww_trace_slope,hww_trace_r2,tau_haa_trace,haa_trace_slope,haa_trace_r2,widths,mean_losses,mean_bbp_steps
polar,0.5,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,0.9053721512949178,-0.9053721512949178,0.9920444136405887,0.8684495073545807,-0.8684495073545807,0.9953937558186882,1.9792757567821078,-1.9792757567821078,0.9999353650215478,2.033385077020468,-2.033385077020468,0.9998591534622236,32 64 128 256 512 1024 2048,9.98000950e-02 6.45020617e-02 3.83385519e-02 2.02951413e-02 8.35934995e-03 5.33319451e-03 2.49802725e-03,0.00 0.00 0.00 0.00 0.00 0.00 0.00
rand_spectrum,0.5,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,0.9053721512949178,-0.9053721512949178,0.9920444136405887,0.8684495073545807,-0.8684495073545807,0.9953937558186882,1.9792757567821078,-1.9792757567821078,0.9999353650215478,2.033385077020468,-2.033385077020468,0.9998591534622236,32 64 128 256 512 1024 2048,9.98000950e-02 6.45020617e-02 3.83385519e-02 2.02951413e-02 8.35934995e-03 5.33319451e-03 2.49802725e-03,0.00 0.00 0.00 0.00 0.00 0.00 0.00
sgd,0.5,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,0,7,21,-0.31196223997680267,0.31196223997680267,0.8743555481460302,0.9636374940577452,-0.9636374940577452,0.9938084899250512,2.022680833588058,-2.022680833588058,0.9999355470424526,2.0787071289434844,-2.0787071289434844,0.9990733679924249,32 64 128 256 512 1024 2048,1.04683685e-01 9.36250438e-02 9.82461323e-02 1.26928401e-01 1.77820553e-01 2.49974325e-01 3.35851928e-01,0.00 0.00 0.00 0.00 0.00 0.00 0.00
trunc_sgd,0.5,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,-0.33172131365871627,0.33172131365871627,0.9776908273675274,0.8994854628912132,-0.8994854628912132,0.9898189815577736,2.007265135735929,-2.007265135735929,0.9999658725560886,2.154673277950314,-2.154673277950314,0.9994562494506717,32 64 128 256 512 1024 2048,1.13672033e-01 1.22764533e-01 1.44208610e-01 1.93237439e-01 2.67989824e-01 3.38172565e-01 4.02324269e-01,0.00 0.00 0.00 0.00 0.00 0.00 0.00
freon,0.8,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,1.5981344494671865,-1.5981344494671865,0.9525456113054507,0.8769380019485951,-0.8769380019485951,0.9955216391573257,1.9808396176174614,-1.9808396176174614,0.9999340877654198,2.033672223313988,-2.033672223313988,0.999891370948145,32 64 128 256 512 1024 2048,5.94113432e-02 3.23951406e-02 1.60252228e-02 6.84079233e-03 2.21896102e-03 4.58714766e-04 6.34705818e-05,0.00 0.00 0.00 0.00 0.00 0.00 0.00
fro_norm,0.8,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,1.5981344494671865,-1.5981344494671865,0.9525456113054507,0.8769380019485951,-0.8769380019485951,0.9955216391573257,1.9808396176174614,-1.9808396176174614,0.9999340877654198,2.033672223313988,-2.033672223313988,0.999891370948145,32 64 128 256 512 1024 2048,5.94113432e-02 3.23951406e-02 1.60252228e-02 6.84079233e-03 2.21896102e-03 4.58714766e-04 6.34705818e-05,0.00 0.00 0.00 0.00 0.00 0.00 0.00
muon,0.8,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,0,7,21,1.615527670056085,-1.615527670056085,0.9486275391689044,0.8817276234643923,-0.8817276234643923,0.9926443250609235,1.9864738512238735,-1.9864738512238735,0.9999036250530705,2.0343324101114724,-2.0343324101114724,0.999900045677388,32 64 128 256 512 1024 2048,5.86533099e-02 3.23354347e-02 1.60246817e-02 6.84536031e-03 2.21307537e-03 4.47858969e-04 5.68731387e-05,0.00 0.00 0.00 0.00 0.00 0.00 0.00
polar,0.8,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,1.5981344494671865,-1.5981344494671865,0.9525456113054507,0.8769380019485951,-0.8769380019485951,0.9955216391573257,1.9808396176174614,-1.9808396176174614,0.9999340877654198,2.033672223313988,-2.033672223313988,0.999891370948145,32 64 128 256 512 1024 2048,5.94113432e-02 3.23951406e-02 1.60252228e-02 6.84079233e-03 2.21896102e-03 4.58714766e-04 6.34705818e-05,0.00 0.00 0.00 0.00 0.00 0.00 0.00
rand_spectrum,0.8,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,1.5981344494671865,-1.5981344494671865,0.9525456113054507,0.8769380019485951,-0.8769380019485951,0.9955216391573257,1.9808396176174614,-1.9808396176174614,0.9999340877654198,2.033672223313988,-2.033672223313988,0.999891370948145,32 64 128 256 512 1024 2048,5.94113432e-02 3.23951406e-02 1.60252228e-02 6.84079233e-03 2.21896102e-03 4.58714766e-04 6.34705818e-05,0.00 0.00 0.00 0.00 0.00 0.00 0.00
sgd,0.8,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,0,7,21,-0.41432256513726057,0.41432256513726057,0.8093989773068885,0.9834090262210713,-0.9834090262210713,0.9942739107000497,2.0250408197550813,-2.0250408197550813,0.9999266612280763,2.0554974022230335,-2.0554974022230335,0.9987629824696204,32 64 128 256 512 1024 2048,6.35860786e-02 5.22155849e-02 5.05731317e-02 6.86425020e-02 1.12746341e-01 1.93749080e-01 2.96320041e-01,0.00 0.00 0.00 0.00 0.00 0.00 0.00
trunc_sgd,0.8,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,-0.45681765336888064,0.45681765336888064,0.9563177519400505,0.8994854628912132,-0.8994854628912132,0.9898189815577736,2.007265135735929,-2.007265135735929,0.9999658725560886,2.1455392383428884,-2.1455392383428884,0.9991243768231862,32 64 128 256 512 1024 2048,6.97145462e-02 7.17262936e-02 8.46240496e-02 1.29491128e-01 2.13307083e-01 3.00307512e-01 3.78769785e-01,0.00 0.00 0.00 0.00 0.00 0.00 0.00
