align_step,alpha,bbp_step,beta,dim,feature_projection,feature_rate_ratio,freon_c,grad_mode,h_bulk_edge_q,h_edge_isotropic,h_gap_q,haa_trace_over_n,hww_bulk_edge_q,hww_edge_isotropic,hww_gap_q,hww_top_eig,hww_trace_over_n,loss,lr_v,lr_w,momentum,muon_nesterov,muon_ns_steps,muon_update_scale,optimizer,projected_lambda_residual_norm,projected_residual_teacher_cos,projected_teacher_norm,r_i,r_ii,r_ii_projected,rand_spectrum_high,readout_optimizer,residual_lambda_norm,rmsprop_alpha,rmsprop_momentum,seed,source,spectral_assume_rank_one,spike_m,step,sv_bulk_edge_q,sv_gap_q,top_h_proxy_eig,top_right_teacher_align_abs,top_singular_value,trace_w_lambda_wt_over_n,trunc_frac,v_norm,w_fro_over_n,width
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.05244375020265579,5.82842712474619,1.458072543144226,9.525962923362385e-06,5.121459980728105e-05,0.005691823364009951,0.0014238989679142833,0.0014751135604456067,4.578704647428822e-06,6.0170268663124315e-15,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,7.894750808645767e-08,-0.023263445124030113,13.305002212524414,0.0016337571432814002,304340.5,242677.03125,1.175,sgd,6.295168475389801e-08,0.99,0.0,0,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=1024_D=512_alpha=1.25_seed=0_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,136.37257385253906,3000,53.42434310913086,260.1273498535156,1.5105162858963013,0.7545235753059387,313.55169677734375,4.801119804382324,0.05,52.19548034667969,654.78662109375,1024
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.047405146062374115,5.82842712474619,1.3582271337509155,9.05456363398116e-06,4.629408795153722e-05,0.005691823364009951,0.0013263936853036284,0.0013726877514272928,4.381534836284118e-06,3.3772063345470418e-15,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,2.2302216962089005e-08,0.10256601870059967,14.634653091430664,0.0016337571432814002,1181668.625,881129.5,1.175,sgd,1.6629993382366592e-08,0.99,0.0,1,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=1024_D=512_alpha=1.25_seed=1_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,136.37255859375,3000,53.186546325683594,262.5584411621094,1.4056322574615479,0.8240771889686584,315.7449951171875,4.594372272491455,0.05,50.887630462646484,652.010009765625,1024
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.052838750183582306,5.82842712474619,1.3875154256820679,8.662126674607862e-06,5.1600341976154596e-05,0.005691823364009951,0.0013549955328926444,0.0014065959258005023,4.445775175554445e-06,4.114080952945026e-15,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,3.83845595308685e-08,-0.02443932741880417,13.73585033416748,0.0016337571432814002,646219.625,523422.9375,1.175,sgd,3.109060386918827e-08,0.99,0.0,2,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=1024_D=512_alpha=1.25_seed=2_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,136.37255859375,3000,53.27882766723633,255.1932830810547,1.4403542280197144,0.8520278334617615,308.47210693359375,4.661733150482178,0.05,49.77264404296875,651.95166015625,1024
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.2602892518043518,2.25,90.8345718383789,4.266913038009079e-06,0.0020335097797214985,0.017578125,0.7096450924873352,0.7116786241531372,0.005735838320106268,0.1308743804693222,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.05533511936664581,0.1285504400730133,23.55121421813965,0.014120866544544697,11.43062973022461,11.70573616027832,1.175,sgd,0.05666689574718475,0.99,0.0,0,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=128_D=512_alpha=1.25_seed=0_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,19.366451263427734,3000,39.683685302734375,1145.385009765625,91.09486389160156,0.17811980843544006,1185.0687255859375,93.9759750366211,0.05,1.5438332557678223,11512.0703125,128
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.23708246648311615,2.25,64.98128509521484,8.46179773361655e-06,0.001852206769399345,0.017578125,0.507666289806366,0.5095185041427612,0.004152405541390181,0.1376095712184906,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.1477251946926117,0.1568916141986847,26.729103088378906,0.01550290547311306,4.584344387054443,3.1136560440063477,1.175,sgd,0.10033395886421204,0.99,0.0,1,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=128_D=512_alpha=1.25_seed=1_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,23.283782958984375,3000,40.594242095947266,1020.488525390625,65.21836853027344,0.22027504444122314,1061.082763671875,68.03301239013672,0.05,2.1740763187408447,9319.1865234375,128
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.2949155569076538,2.25,67.63282012939453,1.529237488284707e-05,0.0023040277883410454,0.017578125,0.5283814072608948,0.5306854248046875,0.004334844648838043,0.13832181692123413,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.08235843479633331,0.14915375411510468,24.86271095275879,0.014477296732366085,4.817895412445068,4.154425621032715,1.175,sgd,0.07101690024137497,0.99,0.0,2,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=128_D=512_alpha=1.25_seed=2_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,26.338165283203125,3000,53.320831298828125,1003.8955078125,67.927734375,0.23499295115470886,1057.21630859375,71.0220947265625,0.05,2.922677755355835,9283.4892578125,128
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.1780577152967453,2.914213562373095,28.165468215942383,3.899328930856427e-06,0.0006955379503779113,0.011383646728019902,0.11002136021852493,0.11071690171957016,0.00047615039511583745,0.08340785652399063,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.06374051421880722,0.10519718378782272,17.864240646362305,0.00705442251637578,4.969165802001953,3.758382797241211,1.175,sgd,0.048209547996520996,0.99,0.0,0,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=256_D=512_alpha=1.25_seed=0_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,38.23137664794922,3000,41.07500076293945,908.2774047851562,28.34352684020996,0.34183943271636963,949.3524169921875,31.204992294311523,0.05,4.17429780960083,4040.7392578125,256
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.15014903247356415,2.914213562373095,22.365449905395508,5.03283354191808e-06,0.00058651965809986,0.011383646728019902,0.0873650386929512,0.08795155584812164,0.0003859589924104512,0.08343726396560669,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.08714057505130768,0.1590994894504547,20.360490798950195,0.007295121438801289,3.22713303565979,2.419829845428467,1.175,sgd,0.06534139066934586,0.99,0.0,1,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=256_D=512_alpha=1.25_seed=1_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,41.06290054321289,3000,42.25551223754883,811.0653076171875,22.51559829711914,0.3671829402446747,853.32080078125,25.294208526611328,0.05,4.7423624992370605,3364.431640625,256
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.17725524306297302,2.914213562373095,35.1965217590332,1.7387490515829995e-05,0.0006924032932147384,0.011383646728019902,0.13748641312122345,0.13817881047725677,0.0005851701134815812,0.0783398374915123,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.028864819556474686,0.1325150728225708,18.563241958618164,0.006838077679276466,3.4456984996795654,3.930286407470703,1.175,sgd,0.032924242317676544,0.99,0.0,2,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=256_D=512_alpha=1.25_seed=2_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,48.942962646484375,3000,44.713565826416016,1060.7227783203125,35.373775482177734,0.3859921991825104,1105.4364013671875,38.349708557128906,0.05,8.814687728881836,5299.9833984375,256
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.09001903235912323,4.0,1.7714864015579224,7.380911119980738e-05,0.00017581842257641256,0.0078125,0.003459934378042817,0.0036357527133077383,1.952853381226305e-05,0.003447421360760927,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.006455233786255121,0.005330896936357021,15.459528923034668,0.0032714400440454483,3.9768974781036377,3.0157792568206787,1.175,sgd,0.004895162768661976,0.99,0.0,0,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=512_D=512_alpha=1.25_seed=0_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,128.3065185546875,3000,43.589134216308594,221.868408203125,1.861505389213562,0.5943165421485901,265.4575500488281,5.119287967681885,0.05,51.36750411987305,682.26953125,512
